unique_id,status,thread_id,execution_time,adapter_response,relation_name,start_time,end_time,model_id,thread,execution_time_sec
model.my_dbt_project.empresas,success,Thread-1 (worker),0.7741100788116455,OK,"""DB_DLK_INTMERCDB"".""dbo"".""empresas""",2024-11-06T19:39:22.274248Z,2024-11-06T19:39:23.045491Z,,,
model.my_dbt_project.escolas_bilingue,success,Thread-1 (worker),0.3370428085327148,OK,"""DB_DLK_INTMERCDB"".""dbo"".""escolas_bilingue""",2024-11-06T19:39:23.053548Z,2024-11-06T19:39:23.385508Z,,,
model.my_dbt_project.my_first_dbt_model,success,Thread-1 (worker),0.4411869049072265,OK,"""DB_DLK_INTMERCDB"".""dbo"".""my_first_dbt_model""",2024-11-06T19:39:23.393515Z,2024-11-06T19:39:23.833702Z,,,
model.my_dbt_project.my_second_dbt_model,success,Thread-1 (worker),0.3140923976898193,OK,"""DB_DLK_INTMERCDB"".""dbo"".""my_second_dbt_model""",2024-11-06T19:39:23.839789Z,2024-11-06T19:39:24.151795Z,,,
model.my_dbt_project.empresas,success,Thread-1 (worker),0.7756950855255127,OK,"""DB_DLK_INTMERCDB"".""dbo"".""empresas""",2024-11-06T20:09:34.877919Z,2024-11-06T20:09:35.650611Z,,,
model.my_dbt_project.escolas_bilingue,success,Thread-1 (worker),0.3339602947235107,OK,"""DB_DLK_INTMERCDB"".""dbo"".""escolas_bilingue""",2024-11-06T20:09:35.659654Z,2024-11-06T20:09:35.990573Z,,,
model.my_dbt_project.my_first_dbt_model,success,Thread-1 (worker),0.4450497627258301,OK,"""DB_DLK_INTMERCDB"".""dbo"".""my_first_dbt_model""",2024-11-06T20:09:35.999574Z,2024-11-06T20:09:36.442616Z,,,
model.my_dbt_project.my_second_dbt_model,success,Thread-1 (worker),0.3311696052551269,OK,"""DB_DLK_INTMERCDB"".""dbo"".""my_second_dbt_model""",2024-11-06T20:09:36.450537Z,2024-11-06T20:09:36.776784Z,,,
,success,,,OK,DB_DLK_INTMERCDB.dbo.empresas,2024-11-06 21:07:19.682329+00:00,2024-11-06 21:07:20.440854+00:00,model.my_dbt_project.empresas,Thread-1 (worker),0.7614672183990479
,success,,,OK,DB_DLK_INTMERCDB.dbo.escolas_bilingue,2024-11-06 21:07:20.448796+00:00,2024-11-06 21:07:20.764149+00:00,model.my_dbt_project.escolas_bilingue,Thread-1 (worker),0.3173589706420898
